Country,Region,modern_rate,modern_rate_norm,Year
Austria,WE,0.4845794352744886,0.5132582339864746,1850
Belgium,WE,0.4845794352744886,0.5132582339864746,1850
Denmark,WE,0.4845794352744886,0.5132582339864746,1850
Finland,WE,0.4845794352744886,0.5132582339864746,1850
France,WE,0.4845794352744886,0.5132582339864746,1850
Germany,WE,0.4845794352744886,0.5132582339864746,1850
Greece,WE,0.4845794352744886,0.5132582339864746,1850
Ireland,WE,0.4845794352744886,0.5132582339864746,1850
Italy,WE,0.4845794352744886,0.5132582339864746,1850
Netherlands,WE,0.4845794352744886,0.5132582339864746,1850
Norway,WE,0.4845794352744886,0.5132582339864746,1850
Portugal,WE,0.4845794352744886,0.5132582339864746,1850
Spain,WE,0.4845794352744886,0.5132582339864746,1850
Sweden,WE,0.4845794352744886,0.5132582339864746,1850
Switzerland,WE,0.4845794352744886,0.5132582339864746,1850
UK,WE,0.4845794352744886,0.5132582339864746,1850
Bulgaria,EE,0.027832620905135233,0.029162229897606366,1850
Czechoslovakia,EE,0.027832620905135233,0.029162229897606366,1850
Hungary,EE,0.027832620905135233,0.029162229897606366,1850
Poland,EE,0.027832620905135233,0.029162229897606366,1850
Romania,EE,0.027832620905135233,0.029162229897606366,1850
USSR,EE,0.027832620905135233,0.029162229897606366,1850
Yugoslavia,EE,0.027832620905135233,0.029162229897606366,1850
Argentina,LA,0.003755633450175263,0.00424641989322566,1850
Bolivia,LA,0.003755633450175263,0.00424641989322566,1850
Brazil,LA,0.003755633450175263,0.00424641989322566,1850
Chile,LA,0.003755633450175263,0.00424641989322566,1850
Colombia,LA,0.003755633450175263,0.00424641989322566,1850
Costa Rica,LA,0.003755633450175263,0.00424641989322566,1850
Cuba,LA,0.003755633450175263,0.00424641989322566,1850
Dominican Republic,LA,0.003755633450175263,0.00424641989322566,1850
Ecuador,LA,0.003755633450175263,0.00424641989322566,1850
El Salvador,LA,0.003755633450175263,0.00424641989322566,1850
Guatemala,LA,0.003755633450175263,0.00424641989322566,1850
Haiti,LA,0.003755633450175263,0.00424641989322566,1850
Honduras,LA,0.003755633450175263,0.00424641989322566,1850
Mexico,LA,0.003755633450175263,0.00424641989322566,1850
Nicaragua,LA,0.003755633450175263,0.00424641989322566,1850
Panama,LA,0.003755633450175263,0.00424641989322566,1850
Paraguay,LA,0.003755633450175263,0.00424641989322566,1850
Peru,LA,0.003755633450175263,0.00424641989322566,1850
Uruguay,LA,0.003755633450175263,0.00424641989322566,1850
Venezuela,LA,0.003755633450175263,0.00424641989322566,1850
China,As,0.010137956071882373,0.011515532497300921,1850
India,As,0.010137956071882373,0.011515532497300921,1850
Indonesia,As,0.010137956071882373,0.011515532497300921,1850
Japan,As,0.010137956071882373,0.011515532497300921,1850
Malaysia,As,0.010137956071882373,0.011515532497300921,1850
Philippines,As,0.010137956071882373,0.011515532497300921,1850
Thailand,As,0.010137956071882373,0.011515532497300921,1850
Iran,ME,0.0,0.0,1850
Iraq,ME,0.0,0.0,1850
Israel,ME,0.0,0.0,1850
Saudi Arabia,ME,0.0,0.0,1850
Syria,ME,0.0,0.0,1850
Turkey,ME,0.0,0.0,1850
Algeria,Af,0.0,0.0,1850
Congo DR,Af,0.0,0.0,1850
Egypt,Af,0.0,0.0,1850
Ethiopia Eritrea,Af,0.0,0.0,1850
Libya,Af,0.0,0.0,1850
Malawi,Af,0.0,0.0,1850
Morocco,Af,0.0,0.0,1850
Nigeria,Af,0.0,0.0,1850
South Africa,Af,0.0,0.0,1850
Tunisia,Af,0.0,0.0,1850
Zambia,Af,0.0,0.0,1850
Zimbabwe,Af,0.0,0.0,1850
Canada,NA,0.07721352741600088,0.0797633801414405,1850
USA,NA,0.07721352741600088,0.0797633801414405,1850
Australia,O,0.05718954248366013,0.06021495808299812,1850
New Zealand,O,0.05718954248366013,0.06021495808299812,1850
Austria,WE,0.8655816871684697,0.916809290256959,1950
Belgium,WE,0.8655816871684697,0.916809290256959,1950
Denmark,WE,0.8655816871684697,0.916809290256959,1950
Finland,WE,0.8655816871684697,0.916809290256959,1950
France,WE,0.8655816871684697,0.916809290256959,1950
Germany,WE,0.8655816871684697,0.916809290256959,1950
Greece,WE,0.8655816871684697,0.916809290256959,1950
Ireland,WE,0.8655816871684697,0.916809290256959,1950
Italy,WE,0.8655816871684697,0.916809290256959,1950
Netherlands,WE,0.8655816871684697,0.916809290256959,1950
Norway,WE,0.8655816871684697,0.916809290256959,1950
Portugal,WE,0.8655816871684697,0.916809290256959,1950
Spain,WE,0.8655816871684697,0.916809290256959,1950
Sweden,WE,0.8655816871684697,0.916809290256959,1950
Switzerland,WE,0.8655816871684697,0.916809290256959,1950
UK,WE,0.8655816871684697,0.916809290256959,1950
Bulgaria,EE,0.781859655105903,0.8192103462902673,1950
Czechoslovakia,EE,0.781859655105903,0.8192103462902673,1950
Hungary,EE,0.781859655105903,0.8192103462902673,1950
Poland,EE,0.781859655105903,0.8192103462902673,1950
Romania,EE,0.781859655105903,0.8192103462902673,1950
USSR,EE,0.781859655105903,0.8192103462902673,1950
Yugoslavia,EE,0.781859655105903,0.8192103462902673,1950
Argentina,LA,0.40387767740055364,0.45665644065009897,1950
Bolivia,LA,0.40387767740055364,0.45665644065009897,1950
Brazil,LA,0.40387767740055364,0.45665644065009897,1950
Chile,LA,0.40387767740055364,0.45665644065009897,1950
Colombia,LA,0.40387767740055364,0.45665644065009897,1950
Costa Rica,LA,0.40387767740055364,0.45665644065009897,1950
Cuba,LA,0.40387767740055364,0.45665644065009897,1950
Dominican Republic,LA,0.40387767740055364,0.45665644065009897,1950
Ecuador,LA,0.40387767740055364,0.45665644065009897,1950
El Salvador,LA,0.40387767740055364,0.45665644065009897,1950
Guatemala,LA,0.40387767740055364,0.45665644065009897,1950
Haiti,LA,0.40387767740055364,0.45665644065009897,1950
Honduras,LA,0.40387767740055364,0.45665644065009897,1950
Mexico,LA,0.40387767740055364,0.45665644065009897,1950
Nicaragua,LA,0.40387767740055364,0.45665644065009897,1950
Panama,LA,0.40387767740055364,0.45665644065009897,1950
Paraguay,LA,0.40387767740055364,0.45665644065009897,1950
Peru,LA,0.40387767740055364,0.45665644065009897,1950
Uruguay,LA,0.40387767740055364,0.45665644065009897,1950
Venezuela,LA,0.40387767740055364,0.45665644065009897,1950
China,As,0.19731423175037324,0.2241258920230752,1950
India,As,0.19731423175037324,0.2241258920230752,1950
Indonesia,As,0.19731423175037324,0.2241258920230752,1950
Japan,As,0.19731423175037324,0.2241258920230752,1950
Malaysia,As,0.19731423175037324,0.2241258920230752,1950
Philippines,As,0.19731423175037324,0.2241258920230752,1950
Thailand,As,0.19731423175037324,0.2241258920230752,1950
Iran,ME,0.3942509639196264,0.41467112813799245,1950
Iraq,ME,0.3942509639196264,0.41467112813799245,1950
Israel,ME,0.3942509639196264,0.41467112813799245,1950
Saudi Arabia,ME,0.3942509639196264,0.41467112813799245,1950
Syria,ME,0.3942509639196264,0.41467112813799245,1950
Turkey,ME,0.3942509639196264,0.41467112813799245,1950
Algeria,Af,0.3424559540402811,0.48631379640845185,1950
Congo DR,Af,0.3424559540402811,0.48631379640845185,1950
Egypt,Af,0.3424559540402811,0.48631379640845185,1950
